[Sun Apr 21 18:36:25.767850 2019] [:error] [pid 15264:tid 1320] [client ::1:56667] PHP Notice:  Trying to get property of non-object in C:\\Users\\heart\\Desktop\\NYU Documents\\NYUcshw\\AppSecHw\\AppSec\\Lab2\\root\\salary_range.php on line 17, referer: http://localhost:8080/
[Sun Apr 21 18:38:21.517979 2019] [:error] [pid 15264:tid 1320] [client ::1:56773] PHP Notice:  Undefined variable: _Get in C:\\Users\\heart\\Desktop\\NYU Documents\\NYUcshw\\AppSecHw\\AppSec\\Lab2\\root\\salary_range.php on line 3
[Sun Apr 21 18:38:21.517979 2019] [:error] [pid 15264:tid 1336] [client ::1:56774] PHP Notice:  Undefined variable: _Get in C:\\Users\\heart\\Desktop\\NYU Documents\\NYUcshw\\AppSecHw\\AppSec\\Lab2\\root\\salary_range.php on line 3
[Sun Apr 21 18:38:21.517979 2019] [:error] [pid 15264:tid 1320] [client ::1:56773] PHP Notice:  Undefined variable: _Get in C:\\Users\\heart\\Desktop\\NYU Documents\\NYUcshw\\AppSecHw\\AppSec\\Lab2\\root\\salary_range.php on line 4
[Sun Apr 21 18:38:21.517979 2019] [:error] [pid 15264:tid 1336] [client ::1:56774] PHP Notice:  Undefined variable: _Get in C:\\Users\\heart\\Desktop\\NYU Documents\\NYUcshw\\AppSecHw\\AppSec\\Lab2\\root\\salary_range.php on line 4
[Sun Apr 21 18:38:21.519980 2019] [:error] [pid 15264:tid 1320] [client ::1:56773] PHP Notice:  Trying to get property of non-object in C:\\Users\\heart\\Desktop\\NYU Documents\\NYUcshw\\AppSecHw\\AppSec\\Lab2\\root\\salary_range.php on line 18
[Sun Apr 21 18:38:21.519980 2019] [:error] [pid 15264:tid 1336] [client ::1:56774] PHP Notice:  Trying to get property of non-object in C:\\Users\\heart\\Desktop\\NYU Documents\\NYUcshw\\AppSecHw\\AppSec\\Lab2\\root\\salary_range.php on line 18
[Sun Apr 21 18:38:25.052168 2019] [:error] [pid 15264:tid 1320] [client ::1:56773] PHP Notice:  Undefined variable: _Get in C:\\Users\\heart\\Desktop\\NYU Documents\\NYUcshw\\AppSecHw\\AppSec\\Lab2\\root\\salary_range.php on line 3, referer: http://localhost:8080/
[Sun Apr 21 18:38:25.052168 2019] [:error] [pid 15264:tid 1320] [client ::1:56773] PHP Notice:  Undefined variable: _Get in C:\\Users\\heart\\Desktop\\NYU Documents\\NYUcshw\\AppSecHw\\AppSec\\Lab2\\root\\salary_range.php on line 4, referer: http://localhost:8080/
[Sun Apr 21 18:38:25.055170 2019] [:error] [pid 15264:tid 1320] [client ::1:56773] PHP Notice:  Trying to get property of non-object in C:\\Users\\heart\\Desktop\\NYU Documents\\NYUcshw\\AppSecHw\\AppSec\\Lab2\\root\\salary_range.php on line 18, referer: http://localhost:8080/
[Sun Apr 21 18:38:46.570487 2019] [:error] [pid 15264:tid 1320] [client ::1:56802] PHP Notice:  Trying to get property of non-object in C:\\Users\\heart\\Desktop\\NYU Documents\\NYUcshw\\AppSecHw\\AppSec\\Lab2\\root\\salary_range.php on line 17
[Sun Apr 21 18:38:50.164794 2019] [:error] [pid 15264:tid 1320] [client ::1:56802] PHP Notice:  Trying to get property of non-object in C:\\Users\\heart\\Desktop\\NYU Documents\\NYUcshw\\AppSecHw\\AppSec\\Lab2\\root\\salary_range.php on line 17, referer: http://localhost:8080/
[Sun Apr 21 18:39:34.089564 2019] [:error] [pid 15264:tid 1320] [client ::1:56845] PHP Parse error:  syntax error, unexpected '$sql' (T_VARIABLE), expecting ',' or ';' in C:\\Users\\heart\\Desktop\\NYU Documents\\NYUcshw\\AppSecHw\\AppSec\\Lab2\\root\\salary_range.php on line 15
[Sun Apr 21 18:39:44.706358 2019] [:error] [pid 15264:tid 1320] [client ::1:56857] PHP Notice:  Trying to get property of non-object in C:\\Users\\heart\\Desktop\\NYU Documents\\NYUcshw\\AppSecHw\\AppSec\\Lab2\\root\\salary_range.php on line 17
